X.x,tJan,tFeb,tMar,tApr,tMay,tJun,tJul,tAug,tSep,tOct,tNov,tDec,rJan,rFeb,rMar,rApr,rMay,run,rJul,rAug,rSep,rOct,rNov,rDec,lon,lat,X.y,soilmask,BDRICM.units_of_measure,BDRICM.BDRICM_M,BLDFIE.units_of_measure,BLDFIE.M.sl1,BLDFIE.M.sl2,BLDFIE.M.sl3,BLDFIE.M.sl4,BLDFIE.M.sl5,BLDFIE.M.sl6,BLDFIE.M.sl7,CECSOL.units_of_measure,CECSOL.M.sl1,CECSOL.M.sl2,CECSOL.M.sl3,CECSOL.M.sl4,CECSOL.M.sl5,CECSOL.M.sl6,CECSOL.M.sl7,CLYPPT.units_of_measure,CLYPPT.M.sl1,CLYPPT.M.sl2,CLYPPT.M.sl3,CLYPPT.M.sl4,CLYPPT.M.sl5,CLYPPT.M.sl6,CLYPPT.M.sl7,CRFVOL.units_of_measure,CRFVOL.M.sl1,CRFVOL.M.sl2,CRFVOL.M.sl3,CRFVOL.M.sl4,CRFVOL.M.sl5,CRFVOL.M.sl6,CRFVOL.M.sl7,ORCDRC.units_of_measure,ORCDRC.M.sl1,ORCDRC.M.sl2,ORCDRC.M.sl3,ORCDRC.M.sl4,ORCDRC.M.sl5,ORCDRC.M.sl6,ORCDRC.M.sl7,PHIHOX.units_of_measure,PHIHOX.M.sl1,PHIHOX.M.sl2,PHIHOX.M.sl3,PHIHOX.M.sl4,PHIHOX.M.sl5,PHIHOX.M.sl6,PHIHOX.M.sl7,SLTPPT.units_of_measure,SLTPPT.M.sl1,SLTPPT.M.sl2,SLTPPT.M.sl3,SLTPPT.M.sl4,SLTPPT.M.sl5,SLTPPT.M.sl6,SLTPPT.M.sl7,SNDPPT.units_of_measure,SNDPPT.M.sl1,SNDPPT.M.sl2,SNDPPT.M.sl3,SNDPPT.M.sl4,SNDPPT.M.sl5,SNDPPT.M.sl6,SNDPPT.M.sl7,depthCodesMeters.sd1,depthCodesMeters.sd2,depthCodesMeters.sd3,depthCodesMeters.sd4,depthCodesMeters.sd5,depthCodesMeters.sd6,depthCodesMeters.sl1,depthCodesMeters.sl2,depthCodesMeters.sl3,depthCodesMeters.sl4,depthCodesMeters.sl5,depthCodesMeters.sl6,depthCodesMeters.sl7,depthCodesMeters.xd1,depthCodesMeters.xd2,publication_date
X276.1,276,287,290,285,279,263,257,255,262,267,276,277,9,35,70,115,175,255,106,37,92,124,41,13,2.08,6.44,41,soil,cm,200,kg / cubic-m,1465,1392,1445,1485,1518,1534,1572,cmol / kg,11,10,9,8,9,9,9,percent,15,16,17,22,29,29,29,percent,18,18,18,20,21,23,24,g / kg,16,14,12,6,4,2,1,index*10,58,57,57,56,56,56,56,percent,13,13,13,12,11,11,11,percent,56,71,70,66,60,60,59,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X277.2,277,288,288,285,278,268,257,256,264,270,277,274,27,56,116,132,154,172,82,53,126,143,58,29,0.6919,6.5046,42,soil,cm,200,kg / cubic-m,1364,1352,1424,1476,1490,1523,1541,cmol / kg,12,13,13,13,13,13,13,percent,20,20,21,25,31,33,33,percent,14,13,16,21,23,23,23,g / kg,8,14,10,7,5,4,3,index*10,60,60,58,58,58,59,59,percent,20,20,21,21,20,20,20,percent,44,60,57,55,48,47,46,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X268.1,268,278,277,274,267,255,247,244,253,259,266,265,23,54,115,127,160,206,120,78,137,171,83,40,0.2333,6.5332999,43,soil,cm,200,kg / cubic-m,1372,1364,1423,1491,1528,1554,1571,cmol / kg,10,12,10,10,10,10,10,percent,15,14,17,20,26,27,28,percent,19,19,21,23,26,26,26,g / kg,13,19,13,5,4,3,2,index*10,57,56,55,55,55,54,54,percent,22,22,22,23,21,21,21,percent,48,63,61,58,52,51,51,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X236,236,246,248,247,243,231,223,218,228,234,239,238,24,62,145,157,177,226,150,101,189,203,81,39,-0.6667,6.65,46,soil,cm,200,kg / cubic-m,1402,1351,1430,1492,1519,1535,1557,cmol / kg,8,10,7,7,7,6,6,percent,14,14,16,22,31,31,30,percent,17,17,18,22,24,26,27,g / kg,18,17,12,5,3,1,1,index*10,56,56,54,54,54,54,54,percent,18,17,17,15,15,16,18,percent,54,70,68,63,55,54,52,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X251,251,261,263,261,258,245,237,234,242,249,253,250,24,57,139,150,172,223,144,93,178,194,82,39,-0.46669999,6.6500001,47,soil,cm,200,kg / cubic-m,1393,1377,1449,1518,1551,1560,1579,cmol / kg,8,9,8,8,8,8,8,percent,13,13,15,20,25,26,26,percent,16,16,18,22,25,25,26,g / kg,14,13,9,4,3,1,0,index*10,61,60,59,58,57,57,56,percent,22,21,21,20,21,21,21,percent,50,65,64,59,55,54,53,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X256.1,256,268,275,273,260,250,239,237,242,248,258,256,11,27,95,128,209,226,217,176,303,212,40,8,6.38687,6.65504,48,soil,cm,200,kg / cubic-m,1422,1376,1409,1458,1472,1487,1495,cmol / kg,7,6,5,4,5,5,5,percent,20,20,21,24,32,31,31,percent,4,4,5,7,8,9,12,g / kg,88,15,13,8,5,3,3,index*10,58,55,56,56,56,56,56,percent,9,9,8,8,8,9,9,percent,56,71,71,68,61,60,60,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X237.1,237,247,249,248,244,232,223,220,228,235,241,238,23,61,144,156,176,225,149,100,189,201,80,38,-0.699,6.6666999,49,soil,cm,200,kg / cubic-m,1406,1331,1404,1484,1514,1524,1550,cmol / kg,9,9,8,6,6,5,5,percent,18,18,20,26,31,32,32,percent,14,14,16,21,22,23,25,g / kg,22,20,13,8,3,2,1,index*10,57,56,54,54,54,53,53,percent,16,15,15,14,14,14,16,percent,51,67,65,60,55,54,53,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X280,280,292,292,287,281,267,258,257,264,269,280,279,5,30,80,113,144,173,85,49,115,128,39,14,2.02,6.6700001,51,soil,cm,200,kg / cubic-m,1330,1325,1389,1450,1476,1500,1522,cmol / kg,19,21,21,20,20,20,20,percent,29,29,31,33,37,37,38,percent,6,6,7,9,11,12,13,g / kg,14,17,15,8,6,6,5,index*10,59,59,58,58,58,57,58,percent,21,22,21,20,19,19,19,percent,35,49,48,47,44,44,43,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X277.3,277,288,290,284,276,262,253,251,260,265,278,275,7,36,86,116,153,187,91,56,119,142,44,14,2.1300001,6.73,52,soil,cm,200,kg / cubic-m,1360,1345,1403,1463,1502,1529,1546,cmol / kg,15,15,13,13,13,12,13,percent,21,21,22,27,31,31,32,percent,4,4,7,9,10,11,12,g / kg,6,17,14,7,4,3,2,index*10,58,58,57,58,56,56,57,percent,12,11,11,10,10,11,12,percent,52,68,67,63,58,58,56,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X280.1,280,289,291,285,278,263,256,252,258,266,278,278,8,35,112,117,167,211,137,73,131,154,43,27,2.6500001,6.73,53,soil,cm,200,kg / cubic-m,1429,1398,1444,1489,1514,1518,1547,cmol / kg,7,7,7,7,7,7,7,percent,18,19,21,26,29,30,31,percent,13,13,14,15,16,17,20,g / kg,9,13,12,7,3,2,1,index*10,61,61,60,60,59,59,58,percent,10,9,8,8,8,8,9,percent,57,72,71,66,63,62,61,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X275.1,275,287,289,286,279,268,258,256,263,270,275,272,23,49,114,135,160,199,141,98,163,168,79,32,0.31670001,6.8499999,54,soil,cm,200,kg / cubic-m,1404,1356,1411,1490,1529,1547,1569,cmol / kg,10,10,10,10,9,9,9,percent,21,20,22,25,28,30,31,percent,11,12,14,16,17,18,19,g / kg,10,16,11,5,3,2,1,index*10,62,61,59,59,59,59,59,percent,26,25,25,25,24,24,23,percent,38,55,53,50,48,46,46,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X268.4,268,281,283,280,274,263,254,251,259,265,270,266,17,45,119,137,161,206,135,87,169,177,72,30,-0.46669999,6.8832998,56,soil,cm,200,kg / cubic-m,1363,1364,1422,1489,1526,1537,1554,cmol / kg,10,9,9,9,9,9,9,percent,14,14,16,21,25,26,27,percent,9,10,14,16,19,21,21,g / kg,8,12,9,5,3,2,1,index*10,61,61,60,60,60,60,60,percent,30,29,28,27,26,26,27,percent,41,57,57,52,48,48,46,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X278.1,278,290,289,281,274,261,252,249,259,266,276,272,4,31,94,127,144,155,112,81,142,126,32,14,1.883333333,6.933333333,60,soil,cm,200,kg / cubic-m,1428,1411,1451,1502,1517,1536,1567,cmol / kg,9,10,9,9,9,9,9,percent,14,14,16,20,29,30,30,percent,13,13,15,17,18,19,20,g / kg,17,15,10,5,4,2,1,index*10,62,62,60,60,60,61,62,percent,13,13,12,12,10,11,10,percent,58,73,72,68,61,59,59,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X272.1,272,284,286,282,275,265,255,252,261,267,272,269,21,45,108,133,152,199,162,113,178,174,81,30,0.30000001,6.9833002,62,soil,cm,200,kg / cubic-m,1415,1382,1445,1505,1525,1544,1565,cmol / kg,6,7,7,7,7,6,6,percent,11,11,13,18,22,24,25,percent,11,11,12,15,19,20,21,g / kg,0,12,10,5,3,1,1,index*10,59,58,57,57,57,56,57,percent,18,18,16,16,16,16,15,percent,56,71,70,65,62,60,60,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X286,286,298,297,291,283,269,260,257,265,273,284,281,4,29,69,137,158,167,105,94,138,123,31,11,2.39,7.02,64,soil,cm,200,kg / cubic-m,1394,1378,1429,1498,1521,1537,1562,cmol / kg,15,13,13,12,13,13,13,percent,22,20,22,27,31,33,33,percent,0,0,1,2,3,4,7,g / kg,13,16,12,5,4,3,2,index*10,65,63,62,62,62,62,63,percent,24,23,23,21,19,19,18,percent,40,57,56,53,50,48,48,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X258,258,273,274,269,265,251,244,239,248,253,260,254,11,44,128,130,163,188,119,68,162,177,56,19,-2.0667,7.0833001,65,soil,cm,200,kg / cubic-m,1346,1333,1417,1493,1532,1544,1561,cmol / kg,9,10,7,7,7,7,7,percent,17,18,21,26,30,32,32,percent,11,11,13,15,17,18,19,g / kg,23,19,12,6,5,3,2,index*10,60,58,56,56,55,56,56,percent,23,23,22,22,21,21,21,percent,44,59,57,52,49,46,46,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X261,261,272,276,274,272,262,250,248,257,264,260,257,20,36,77,145,297,500,614,496,551,357,184,54,-11.35,7.22,70,soil,cm,200,kg / cubic-m,1278,1258,1321,1367,1414,1425,1475,cmol / kg,9,10,8,7,7,7,7,percent,21,21,23,29,35,37,37,percent,27,28,33,37,39,38,38,g / kg,8,25,19,12,7,5,5,index*10,52,52,52,52,51,51,52,percent,14,13,13,12,12,13,14,percent,49,66,63,59,53,49,48,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X256.2,256,266,273,269,260,248,237,233,240,247,259,256,9,32,96,130,163,182,203,155,250,164,43,20,5.3,7.23,73,soil,cm,200,kg / cubic-m,1352,1313,1396,1457,1488,1507,1518,cmol / kg,10,11,9,8,8,8,8,percent,22,22,25,31,38,39,39,percent,13,13,16,19,22,21,23,g / kg,45,19,12,7,5,3,2,index*10,58,57,56,56,56,56,56,percent,19,19,18,17,17,17,19,percent,44,59,57,52,45,44,43,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X273,273,282,287,282,272,260,250,247,256,262,272,270,12,29,98,142,165,199,172,91,163,161,46,12,3.5333,7.2333,74,soil,cm,200,kg / cubic-m,1356,1292,1389,1463,1480,1492,1502,cmol / kg,10,9,8,7,7,7,7,percent,15,16,19,25,32,33,34,percent,13,13,14,18,18,19,20,g / kg,3,22,15,8,5,4,2,index*10,61,60,59,59,58,59,59,percent,17,16,16,15,15,16,15,percent,53,68,65,60,53,51,51,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X260,260,276,277,271,266,252,244,240,248,255,261,257,8,39,123,122,162,183,104,69,158,159,43,15,-2.6833,7.3167,75,soil,cm,200,kg / cubic-m,1349,1293,1399,1463,1504,1513,1538,cmol / kg,15,16,12,11,11,11,11,percent,20,20,22,27,31,33,33,percent,10,10,11,14,15,16,18,g / kg,32,22,13,6,4,2,1,index*10,57,57,54,54,54,54,53,percent,21,21,19,19,18,20,20,percent,44,60,58,54,50,48,48,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X265,265,278,284,284,280,268,258,255,263,269,270,266,17,27,56,135,277,452,685,637,580,339,198,44,-11.72083,7.35806,83,soil,cm,200,kg / cubic-m,1333,1284,1365,1422,1464,1488,1520,cmol / kg,7,8,8,7,8,7,7,percent,25,24,26,32,37,37,38,percent,17,18,21,24,26,26,26,g / kg,100,23,22,12,11,10,10,index*10,52,51,51,51,51,51,51,percent,22,21,21,20,18,18,18,percent,38,55,53,48,45,45,44,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X271,271,280,286,281,272,258,247,243,254,262,269,269,5,24,82,141,156,182,163,122,183,174,37,8,3.9018433,7.4708848,85,soil,cm,200,kg / cubic-m,1380,1331,1410,1485,1507,1532,1555,cmol / kg,7,9,8,8,8,7,7,percent,17,16,18,23,30,31,32,percent,10,10,11,15,16,15,18,g / kg,0,17,11,5,3,1,1,index*10,62,62,61,61,61,61,60,percent,16,15,15,14,14,14,16,percent,53,68,67,64,56,55,52,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X269.1,269,276,284,277,268,256,244,238,252,259,265,266,6,24,83,140,156,179,160,121,186,175,38,9,3.9099205,7.5014243,86,soil,cm,200,kg / cubic-m,1392,1369,1425,1462,1483,1504,1536,cmol / kg,4,7,6,6,6,5,5,percent,20,20,23,32,47,49,47,percent,22,22,25,32,31,30,30,g / kg,22,14,11,5,2,0,0,index*10,63,63,63,63,62,61,61,percent,16,16,15,14,13,13,16,percent,48,64,62,54,40,38,37,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X268.8,268,276,280,281,276,263,252,249,255,264,267,268,9,22,36,102,275,547,769,729,562,315,164,56,-12.51,7.53,91,soil,cm,200,kg / cubic-m,1358,1262,1340,1357,1422,1476,1528,cmol / kg,11,12,13,12,12,12,12,percent,31,29,30,35,35,35,36,percent,27,27,30,32,33,34,34,g / kg,112,20,19,11,10,8,7,index*10,54,52,52,53,53,54,54,percent,23,22,22,21,19,19,21,percent,31,49,48,45,46,45,43,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X255,255,270,271,266,258,245,237,231,239,243,250,246,7,35,115,135,160,175,116,80,180,182,46,16,-2.0667,7.5332999,93,soil,cm,200,kg / cubic-m,1404,1331,1418,1479,1513,1515,1520,cmol / kg,6,8,6,6,6,5,5,percent,14,14,17,21,26,28,28,percent,9,8,9,10,12,12,15,g / kg,10,18,13,5,3,2,2,index*10,58,56,55,55,54,54,53,percent,21,21,19,19,19,19,20,percent,50,66,64,60,55,53,52,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X267,267,275,282,282,275,263,253,250,256,264,267,266,10,23,41,106,268,511,711,685,552,315,170,52,-12.37306,7.54167,95,soil,cm,200,kg / cubic-m,1067,913,901,923,957,1001,1025,cmol / kg,23,25,22,21,20,20,19,percent,29,27,29,31,35,35,35,percent,34,35,36,39,42,42,38,g / kg,33,64,37,34,28,27,28,index*10,50,49,49,49,50,50,50,percent,24,23,24,24,22,22,24,percent,32,50,48,45,43,43,42,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X267.1,267,284,288,282,274,261,254,252,259,262,269,265,6,20,97,127,159,176,140,91,193,168,41,14,-1.2,7.5500002,96,soil,cm,200,kg / cubic-m,1437,1429,1467,1519,1545,1563,1568,cmol / kg,5,6,6,6,6,6,6,percent,6,7,9,14,20,22,23,percent,7,6,10,13,13,15,16,g / kg,31,10,8,5,3,1,0,index*10,61,61,60,59,59,58,58,percent,16,15,14,15,14,14,14,percent,63,77,76,72,66,64,63,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X273.1,273,291,294,287,279,265,256,256,262,268,274,269,6,16,81,123,149,179,149,108,203,160,38,12,-0.9808,7.7554,98,soil,cm,200,kg / cubic-m,1454,1434,1456,1519,1543,1568,1581,cmol / kg,28,6,5,6,6,7,7,percent,9,10,11,15,19,21,22,percent,10,10,12,16,15,16,17,g / kg,106,11,9,4,4,2,2,index*10,61,60,59,59,59,59,59,percent,18,17,17,16,16,16,16,percent,58,73,72,70,65,63,62,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X256.3,256,266,270,267,265,256,245,241,250,255,258,252,15,34,102,146,242,308,376,500,449,336,189,47,-11.1875,7.87667,99,soil,cm,200,kg / cubic-m,1371,1348,1361,1404,1412,1462,1494,cmol / kg,29,8,8,8,8,7,8,percent,23,23,25,31,35,36,36,percent,11,12,13,15,14,15,15,g / kg,92,17,17,11,9,6,5,index*10,55,54,53,53,53,54,53,percent,18,18,18,16,15,15,16,percent,44,60,58,53,50,48,47,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X256.5,256,268,273,271,266,258,246,244,253,258,260,253,13,34,103,150,244,303,367,482,441,335,190,46,-11.14,7.94,101,soil,cm,200,kg / cubic-m,1413,1316,1385,1423,1450,1473,1505,cmol / kg,36,12,11,10,10,10,10,percent,20,21,25,30,36,38,38,percent,18,19,21,21,24,25,26,g / kg,43,23,15,7,6,3,2,index*10,54,53,52,52,53,53,53,percent,20,19,20,19,18,17,18,percent,44,60,55,51,46,45,43,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X269.6,269,286,290,283,274,261,253,247,254,260,266,261,5,25,91,138,162,179,121,94,201,169,44,11,-2,8,102,soil,cm,200,kg / cubic-m,1399,1367,1414,1502,1542,1551,1569,cmol / kg,30,8,8,8,9,8,9,percent,10,11,13,16,22,24,24,percent,15,16,20,23,27,27,27,g / kg,10,14,10,4,2,1,0,index*10,61,61,60,60,60,61,61,percent,29,29,29,29,27,27,28,percent,45,60,58,55,51,48,48,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X280.2,280,293,293,285,276,265,254,249,257,267,279,271,6,19,71,106,138,153,175,158,162,108,14,7,2.1700001,8.0200005,104,soil,cm,200,kg / cubic-m,1408,1378,1431,1479,1493,1514,1534,cmol / kg,4,7,7,7,7,7,7,percent,8,9,11,14,20,20,21,percent,15,15,17,22,24,25,26,g / kg,85,10,7,4,2,1,0,index*10,62,61,60,60,59,60,59,percent,15,15,14,14,14,14,14,percent,62,76,75,72,66,66,65,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
