X.x,tJan,tFeb,tMar,tApr,tMay,tJun,tJul,tAug,tSep,tOct,tNov,tDec,rJan,rFeb,rMar,rApr,rMay,run,rJul,rAug,rSep,rOct,rNov,rDec,lon,lat,X.y,soilmask,BDRICM.units_of_measure,BDRICM.BDRICM_M,BLDFIE.units_of_measure,BLDFIE.M.sl1,BLDFIE.M.sl2,BLDFIE.M.sl3,BLDFIE.M.sl4,BLDFIE.M.sl5,BLDFIE.M.sl6,BLDFIE.M.sl7,CECSOL.units_of_measure,CECSOL.M.sl1,CECSOL.M.sl2,CECSOL.M.sl3,CECSOL.M.sl4,CECSOL.M.sl5,CECSOL.M.sl6,CECSOL.M.sl7,CLYPPT.units_of_measure,CLYPPT.M.sl1,CLYPPT.M.sl2,CLYPPT.M.sl3,CLYPPT.M.sl4,CLYPPT.M.sl5,CLYPPT.M.sl6,CLYPPT.M.sl7,CRFVOL.units_of_measure,CRFVOL.M.sl1,CRFVOL.M.sl2,CRFVOL.M.sl3,CRFVOL.M.sl4,CRFVOL.M.sl5,CRFVOL.M.sl6,CRFVOL.M.sl7,ORCDRC.units_of_measure,ORCDRC.M.sl1,ORCDRC.M.sl2,ORCDRC.M.sl3,ORCDRC.M.sl4,ORCDRC.M.sl5,ORCDRC.M.sl6,ORCDRC.M.sl7,PHIHOX.units_of_measure,PHIHOX.M.sl1,PHIHOX.M.sl2,PHIHOX.M.sl3,PHIHOX.M.sl4,PHIHOX.M.sl5,PHIHOX.M.sl6,PHIHOX.M.sl7,SLTPPT.units_of_measure,SLTPPT.M.sl1,SLTPPT.M.sl2,SLTPPT.M.sl3,SLTPPT.M.sl4,SLTPPT.M.sl5,SLTPPT.M.sl6,SLTPPT.M.sl7,SNDPPT.units_of_measure,SNDPPT.M.sl1,SNDPPT.M.sl2,SNDPPT.M.sl3,SNDPPT.M.sl4,SNDPPT.M.sl5,SNDPPT.M.sl6,SNDPPT.M.sl7,depthCodesMeters.sd1,depthCodesMeters.sd2,depthCodesMeters.sd3,depthCodesMeters.sd4,depthCodesMeters.sd5,depthCodesMeters.sd6,depthCodesMeters.sl1,depthCodesMeters.sl2,depthCodesMeters.sl3,depthCodesMeters.sl4,depthCodesMeters.sl5,depthCodesMeters.sl6,depthCodesMeters.sl7,depthCodesMeters.xd1,depthCodesMeters.xd2,publication_date
X265.2,265,275,286,281,270,257,245,241,250,256,266,262,8,22,74,114,156,163,135,105,205,169,41,11,4.1300001,8.0299997,105,soil,cm,200,kg / cubic-m,1378,1319,1401,1427,1418,1395,1403,cmol / kg,6,9,7,7,8,8,8,percent,11,12,14,18,22,24,24,percent,15,15,16,22,22,22,24,g / kg,1,13,10,5,3,1,2,index*10,62,62,61,60,60,60,60,percent,16,16,15,16,16,16,17,percent,58,72,71,66,62,59,58,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X257,257,275,282,282,274,263,254,251,259,263,265,259,3,10,43,97,229,338,445,529,452,328,149,19,-12.1,8.04,108,soil,cm,200,kg / cubic-m,1335,1277,1339,1392,1434,1455,1485,cmol / kg,34,12,11,10,9,9,9,percent,22,21,23,27,31,33,33,percent,17,18,20,22,25,26,26,g / kg,12,21,19,11,8,7,6,index*10,52,50,49,50,49,49,49,percent,17,17,17,16,16,16,16,percent,46,62,60,57,52,51,51,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X260.8,260,267,275,277,272,260,251,247,255,260,264,260,9,12,24,73,236,391,689,752,526,316,165,42,-12.85,8.13,109,soil,cm,200,kg / cubic-m,1239,1147,1154,1241,1289,1331,1342,cmol / kg,21,21,20,19,19,19,19,percent,32,31,32,33,36,36,37,percent,19,19,21,23,24,25,27,g / kg,96,45,48,42,38,37,37,index*10,51,49,49,49,49,49,50,percent,26,25,24,24,22,22,24,percent,27,45,44,42,42,42,39,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X262,262,273,284,279,268,255,243,240,247,254,264,260,9,20,72,111,158,166,137,110,213,172,39,12,4.2666667,8.1333337,110,soil,cm,200,kg / cubic-m,1326,1277,1348,1373,1373,1365,1376,cmol / kg,5,8,7,6,7,7,8,percent,10,10,12,17,22,25,25,percent,13,12,14,20,20,23,25,g / kg,83,12,10,4,2,2,1,index*10,60,59,58,58,58,58,57,percent,16,16,15,14,15,14,15,percent,59,74,73,68,63,61,60,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X284,284,300,300,291,281,270,260,255,261,271,284,275,4,15,61,93,136,142,165,150,160,104,11,4,2.37,8.2,111,soil,cm,200,kg / cubic-m,1389,1360,1418,1467,1485,1508,1531,cmol / kg,32,9,8,9,10,10,10,percent,9,9,12,18,25,26,26,percent,15,15,21,28,30,31,31,g / kg,77,12,9,5,3,2,1,index*10,63,61,60,60,60,60,61,percent,21,21,21,19,19,19,20,percent,54,70,67,64,57,55,54,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X246.3,246,266,275,272,269,262,250,249,257,258,261,253,12,35,112,175,248,320,328,402,416,338,183,44,-10.7124,8.2451,112,soil,cm,200,kg / cubic-m,1345,1245,1337,1423,1471,1486,1499,cmol / kg,17,18,16,15,15,15,15,percent,28,28,31,34,37,38,38,percent,18,18,19,21,22,22,22,g / kg,31,27,22,12,7,5,3,index*10,54,53,53,53,53,54,54,percent,22,21,20,20,18,18,19,percent,36,51,49,47,45,44,43,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X261.3,261,274,282,283,276,264,255,251,258,264,266,260,4,8,30,96,228,355,489,601,496,371,157,24,-11.93,8.35,114,soil,cm,200,kg / cubic-m,1271,1253,1341,1406,1426,1446,1484,cmol / kg,37,13,11,11,10,11,11,percent,23,23,27,30,34,36,36,percent,22,23,25,30,33,35,33,g / kg,73,25,20,12,8,5,5,index*10,52,51,51,51,52,53,52,percent,22,22,21,20,20,20,20,percent,39,55,52,49,46,44,43,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X275.3,275,289,291,284,274,264,252,245,256,262,275,268,5,13,61,93,141,144,193,179,167,97,9,6,1.92,8.4200001,115,soil,cm,200,kg / cubic-m,1414,1330,1407,1469,1496,1505,1522,cmol / kg,31,8,8,8,9,8,9,percent,16,16,18,24,30,30,30,percent,10,11,12,16,17,18,21,g / kg,30,14,10,5,3,2,2,index*10,61,60,59,59,58,59,60,percent,21,21,20,20,19,20,20,percent,48,63,62,56,51,49,49,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X243,243,257,267,265,261,251,241,237,246,249,250,244,9,23,81,131,245,320,405,524,479,367,182,36,-11.4547,8.4371,116,soil,cm,200,kg / cubic-m,1279,1207,1311,1370,1406,1434,1467,cmol / kg,16,16,15,14,14,13,13,percent,22,22,24,31,35,35,35,percent,17,18,20,25,27,28,29,g / kg,31,28,23,14,10,8,8,index*10,54,52,52,52,53,53,53,percent,20,20,19,17,17,18,19,percent,43,58,56,51,49,47,46,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X267.3,267,286,300,303,285,269,260,257,263,270,274,265,2,5,25,73,157,170,215,260,253,138,9,0,8.51667,8.48333,117,soil,cm,200,kg / cubic-m,1437,1405,1447,1493,1529,1537,1568,cmol / kg,32,10,10,9,10,9,10,percent,14,15,17,23,26,26,26,percent,12,12,13,15,13,14,15,g / kg,88,13,10,4,4,1,1,index*10,59,58,58,57,57,57,57,percent,19,18,17,17,17,17,17,percent,52,66,66,60,57,57,57,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X242,242,257,265,265,260,250,240,236,246,248,250,244,9,22,76,128,245,324,415,533,484,374,181,35,-11.5,8.5,118,soil,cm,200,kg / cubic-m,1295,1235,1319,1386,1410,1432,1461,cmol / kg,39,16,14,14,13,13,13,percent,25,26,27,33,38,41,41,percent,23,24,26,31,33,33,36,g / kg,32,25,20,13,7,5,4,index*10,54,53,53,53,54,54,55,percent,20,20,20,19,18,18,19,percent,40,54,53,48,44,42,41,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X268.10,268,284,289,282,272,259,248,240,249,257,266,258,7,12,50,85,132,145,184,159,203,121,11,7,2.5799999,8.8800001,122,soil,cm,200,kg / cubic-m,1401,1342,1414,1432,1468,1474,1490,cmol / kg,28,8,7,7,7,7,7,percent,14,15,16,22,28,28,28,percent,17,17,22,29,29,30,29,g / kg,26,11,9,5,3,2,1,index*10,61,59,59,59,59,59,59,percent,19,19,18,17,17,17,18,percent,53,66,66,61,55,55,54,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X269.8,269,281,286,280,269,255,243,238,246,257,268,264,7,9,50,84,133,144,215,216,203,97,6,7,1.67,8.9799995,123,soil,cm,200,kg / cubic-m,1364,1315,1403,1445,1470,1485,1503,cmol / kg,32,8,7,7,7,7,8,percent,16,17,19,24,30,31,30,percent,10,10,12,17,17,18,18,g / kg,37,17,12,6,4,2,2,index*10,60,59,57,57,57,57,57,percent,20,20,19,19,19,19,19,percent,49,63,62,57,51,50,51,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X269.10,269,286,291,285,274,261,249,242,250,259,266,260,6,11,44,81,131,147,189,178,206,112,10,6,2.5699999,9.0200005,125,soil,cm,200,kg / cubic-m,1464,1331,1432,1447,1461,1473,1502,cmol / kg,31,9,9,9,10,9,9,percent,14,14,18,23,27,29,29,percent,11,10,15,19,22,23,22,g / kg,30,12,10,4,3,1,1,index*10,61,60,59,59,59,60,60,percent,22,22,22,21,22,21,21,percent,49,64,61,56,52,50,50,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X268.11,268,286,299,298,278,260,254,249,254,263,271,264,2,7,21,72,145,168,216,236,254,115,6,1,6.6333337,9.1000004,128,soil,cm,200,kg / cubic-m,1435,1351,1397,1416,1425,1436,1452,cmol / kg,30,8,7,7,7,7,7,percent,9,10,13,20,23,23,23,percent,9,9,10,13,14,14,16,g / kg,81,9,7,5,3,2,1,index*10,57,56,56,56,56,56,56,percent,16,16,16,16,15,15,16,percent,59,74,71,65,62,61,61,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X277.4,277,299,306,298,286,271,261,259,259,271,278,274,1,7,42,96,126,152,142,160,210,113,9,4,-1.55,9.1332998,130,soil,cm,200,kg / cubic-m,1499,1451,1487,1537,1581,1600,1618,cmol / kg,30,7,7,8,8,9,9,percent,10,10,12,17,22,24,24,percent,11,11,14,16,19,20,21,g / kg,100,9,7,4,2,1,0,index*10,62,61,60,60,60,60,61,percent,21,21,20,19,19,19,18,percent,53,69,68,64,59,57,58,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X258.5,258,278,292,284,275,260,251,247,244,258,259,254,2,10,51,95,131,147,161,151,209,105,15,8,-2.4833,9.1999998,132,soil,cm,200,kg / cubic-m,1435,1397,1464,1512,1536,1556,1571,cmol / kg,31,10,10,10,11,10,12,percent,16,17,19,23,29,30,31,percent,12,12,14,17,21,21,22,g / kg,86,14,9,5,3,1,1,index*10,63,63,61,60,60,61,61,percent,28,27,27,26,26,26,26,percent,42,57,54,51,45,44,43,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X273.2,273,291,304,305,287,271,259,255,259,269,275,266,4,5,24,73,139,176,184,184,242,109,8,1,5.05,9.28333,134,soil,cm,200,kg / cubic-m,1434,1380,1419,1469,1504,1525,1551,cmol / kg,31,8,9,9,9,9,9,percent,14,15,17,21,26,26,26,percent,8,7,10,12,14,15,14,g / kg,59,12,9,4,3,1,0,index*10,60,59,58,59,58,59,59,percent,22,21,20,20,19,19,20,percent,49,64,63,60,55,55,54,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X278.3,278,297,309,309,287,268,262,258,260,269,279,274,1,4,15,66,137,171,216,230,255,107,5,0,6.2999997,9.3371178,135,soil,cm,200,kg / cubic-m,1452,1394,1438,1451,1489,1509,1530,cmol / kg,30,8,8,8,8,9,9,percent,11,12,15,20,24,24,24,percent,7,7,8,11,13,13,15,g / kg,85,9,8,5,4,2,2,index*10,59,58,57,57,58,59,59,percent,17,17,16,16,14,15,16,percent,57,71,69,65,62,61,59,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X277.6,277,296,308,308,288,268,261,257,260,269,279,273,1,4,15,66,138,171,216,231,255,107,5,0,6.3,9.35,136,soil,cm,200,kg / cubic-m,1441,1413,1449,1465,1487,1505,1540,cmol / kg,32,10,9,9,10,9,10,percent,12,13,16,21,24,25,24,percent,10,10,13,19,21,23,25,g / kg,76,10,8,4,3,1,1,index*10,59,59,59,58,58,58,59,percent,20,20,18,17,17,17,17,percent,53,67,66,62,59,58,58,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X271.1,271,286,286,288,275,261,251,244,252,261,269,265,2,7,32,74,122,148,211,242,211,81,5,2,2.25,9.5,137,soil,cm,200,kg / cubic-m,1382,1354,1420,1467,1508,1513,1533,cmol / kg,32,10,8,8,9,8,8,percent,16,17,20,26,31,33,31,percent,19,19,23,33,33,33,32,g / kg,34,14,13,6,4,2,1,index*10,61,61,60,59,60,60,61,percent,19,19,18,17,18,18,19,percent,50,64,61,57,51,50,50,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X266,266,279,286,283,269,254,242,237,244,255,264,262,2,6,34,84,125,156,246,253,235,80,5,4,1.72,9.6700001,139,soil,cm,200,kg / cubic-m,1435,1385,1442,1480,1502,1508,1523,cmol / kg,7,9,9,8,10,9,9,percent,13,14,19,25,30,30,30,percent,11,11,15,22,25,27,26,g / kg,58,11,11,4,3,1,0,index*10,62,61,60,59,59,60,60,percent,21,20,19,18,18,18,19,percent,51,66,63,57,52,53,52,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X266.1,266,278,287,282,268,252,242,237,243,256,265,261,2,6,34,84,125,157,248,253,238,81,5,4,1.67,9.6700001,140,soil,cm,200,kg / cubic-m,1436,1367,1445,1467,1490,1497,1518,cmol / kg,31,9,10,10,10,11,11,percent,14,15,18,26,30,32,31,percent,11,11,12,17,21,22,22,g / kg,51,11,10,6,4,2,1,index*10,61,60,59,59,60,60,60,percent,20,19,19,18,19,18,19,percent,51,66,63,56,51,50,50,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X208,208,225,243,251,239,222,207,203,213,225,222,210,2,4,24,93,192,195,280,290,224,59,6,0,8.833333333,9.733333333,142,soil,cm,200,kg / cubic-m,1392,1332,1345,1326,1336,1363,1382,cmol / kg,9,11,10,11,11,12,12,percent,20,20,24,33,33,34,32,percent,18,19,21,22,23,24,25,g / kg,88,15,13,9,7,6,5,index*10,57,56,55,55,55,56,56,percent,24,24,24,22,22,22,22,percent,41,55,52,45,45,44,46,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X268.13,268,282,284,288,273,257,246,241,247,258,264,262,1,5,29,68,119,152,214,246,217,73,4,2,2.25,9.75,143,soil,cm,200,kg / cubic-m,1405,1319,1400,1461,1478,1490,1509,cmol / kg,7,7,7,7,7,7,7,percent,18,18,20,27,34,35,33,percent,18,18,23,30,33,31,28,g / kg,12,12,10,4,3,1,0,index*10,61,60,59,58,59,59,59,percent,21,21,20,20,19,19,20,percent,46,62,60,53,47,46,47,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X263.1,263,279,282,288,272,258,246,242,246,258,262,258,0,3,26,57,117,158,190,234,220,70,5,3,2.7,9.8500004,144,soil,cm,200,kg / cubic-m,1413,1362,1431,1456,1495,1500,1525,cmol / kg,6,8,8,8,8,8,8,percent,14,15,18,23,29,30,30,percent,9,9,11,18,21,21,21,g / kg,50,11,9,5,3,1,1,index*10,61,60,60,60,60,60,60,percent,19,19,18,17,18,18,17,percent,51,66,64,60,53,52,53,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X259.6,259,276,284,288,272,257,245,240,246,256,261,254,1,4,24,62,126,161,193,235,230,74,6,2,2.9300001,9.9200001,147,soil,cm,200,kg / cubic-m,1451,1400,1443,1461,1485,1477,1501,cmol / kg,5,6,6,7,8,8,8,percent,15,16,19,28,32,32,32,percent,10,10,13,16,20,22,21,g / kg,49,11,9,5,3,1,1,index*10,61,61,60,60,59,60,59,percent,22,22,20,19,19,19,20,percent,48,62,60,53,49,49,48,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X228,228,245,264,276,260,242,230,224,234,242,238,227,1,4,21,73,152,188,255,317,277,96,6,0,8,10,148,soil,cm,200,kg / cubic-m,1368,1315,1348,1323,1313,1327,1346,cmol / kg,5,6,5,6,6,5,5,percent,20,20,26,33,38,38,37,percent,13,13,16,19,21,22,23,g / kg,81,13,10,6,5,3,3,index*10,56,54,53,54,53,53,54,percent,23,22,22,21,20,20,20,percent,42,57,52,46,41,41,43,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X258.7,258,277,288,293,278,262,248,243,247,259,260,253,0,4,24,69,134,164,194,245,234,72,5,1,3.23,10.15,153,soil,cm,200,kg / cubic-m,1436,1381,1421,1453,1490,1506,1514,cmol / kg,4,5,5,5,5,5,5,percent,14,14,18,23,29,29,29,percent,10,11,12,16,23,22,23,g / kg,57,11,10,5,3,1,1,index*10,60,59,59,59,58,59,60,percent,20,20,19,19,18,18,18,percent,51,66,63,58,53,53,53,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X260.9,260,279,293,290,272,256,243,238,244,256,257,258,0,4,25,65,110,149,210,255,250,76,6,1,1.55,10.4833,154,soil,cm,200,kg / cubic-m,1422,1352,1417,1451,1483,1501,1507,cmol / kg,8,9,9,9,10,10,10,percent,17,16,20,26,30,31,30,percent,16,15,19,25,26,27,27,g / kg,89,15,11,6,5,3,2,index*10,63,62,61,60,61,61,61,percent,23,22,21,20,19,19,20,percent,45,62,59,55,51,51,50,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X265.5,265,283,301,300,283,267,250,246,253,263,264,263,0,3,18,50,102,143,206,246,224,61,5,2,1.6666665,10.7499995,155,soil,cm,200,kg / cubic-m,1439,1393,1443,1487,1469,1484,1502,cmol / kg,7,9,9,9,9,9,9,percent,17,18,21,24,30,31,29,percent,8,8,9,12,17,17,20,g / kg,65,13,10,6,4,2,2,index*10,62,61,60,61,61,61,61,percent,24,24,23,23,22,23,23,percent,44,59,56,53,48,47,47,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X266.3,266,289,307,312,298,276,262,257,263,277,274,262,1,2,15,42,91,125,173,245,171,48,5,3,-2.45,11.05,158,soil,cm,200,kg / cubic-m,1469,1433,1469,1497,1531,1538,1580,cmol / kg,4,6,6,6,7,7,7,percent,15,15,18,26,32,32,32,percent,6,6,9,16,18,20,21,g / kg,88,12,9,6,4,3,3,index*10,60,58,59,58,58,60,60,percent,28,27,27,26,24,24,25,percent,42,57,55,48,44,44,43,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X255.2,255,283,314,323,312,290,271,261,267,282,271,259,0,1,6,26,74,125,178,235,165,30,2,0,2.1666667,11.75,159,soil,cm,200,kg / cubic-m,1433,1421,1474,1535,1589,1618,1650,cmol / kg,10,11,11,12,13,13,13,percent,26,26,31,36,39,40,38,percent,19,18,20,30,31,32,33,g / kg,100,11,10,6,3,2,1,index*10,65,64,63,64,64,65,66,percent,29,28,25,25,25,25,25,percent,30,46,44,39,36,34,36,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
